,Unnamed: 0,norm_intensity,norm_intensity_error,norm_volume,norm_volume_error,offset(hz),slp(hz),trelax(s)
17,17,0.2646722391176345,0.04384016986274643,0.2868494025460868,0.01438206831321395,-1280.3196775533345,249.99929273984668,0.1
18,18,0.34393863424366217,0.04384016986274643,0.2946179981470731,0.01438206831321395,-1218.2860498733346,249.99929273984668,0.1
19,19,0.2898500456277303,0.04384016986274643,0.27331865871436783,0.01438206831321395,-1156.2524221933345,249.99929273984668,0.1
20,20,0.2921122098187638,0.04384016986274643,0.28534351981204464,0.01438206831321395,-1094.2181948533344,249.99929273984668,0.1
21,21,0.3054852827806409,0.04384016986274643,0.26379326973742245,0.01438206831321395,-1032.1845671733342,249.99929273984668,0.1
22,22,0.2601417595914345,0.04384016986274643,0.21708734283919773,0.01438206831321395,-970.1509394933348,249.99929273984668,0.1
23,23,0.2687566392900285,0.04384016986274643,0.2132908009309944,0.01438206831321395,-908.1173118133348,249.99929273984668,0.1
24,24,0.2758516198350118,0.04384016986274643,0.2608622438790701,0.01438206831321395,-846.0830844733348,249.99929273984668,0.1
25,25,0.2349907429327603,0.04384016986274643,0.2453724911248389,0.01438206831321395,-784.0494567933348,249.99929273984668,0.1
26,26,0.2347557854140995,0.04384016986274643,0.220124345980363,0.01438206831321395,-722.0158291133348,249.99929273984668,0.1
27,27,0.19001297001114886,0.04384016986274643,0.18495800475634144,0.01438206831321395,-659.9816017733348,249.99929273984668,0.1
28,28,0.2023689593842381,0.04384016986274643,0.23236273245319364,0.01438206831321395,-597.9479740933339,249.99929273984668,0.1
29,29,0.18989820261140347,0.04384016986274643,0.1625671621430436,0.01438206831321395,-535.9143464133349,249.99929273984668,0.1
30,30,0.15725796563048214,0.04384016986274643,0.20168618374233785,0.01438206831321395,-473.8807187333341,249.99929273984668,0.1
31,31,0.10993336934990096,0.04384016986274643,0.11762378825571344,0.01438206831321395,-411.84649139333396,249.99929273984668,0.1
32,32,0.06868537504780288,0.04384016986274643,0.04979917549255089,0.01438206831321395,-349.81286371333414,249.99929273984668,0.1
33,33,0.08717745443803025,0.04384016986274643,0.05979835203928952,0.01438206831321395,-287.7792360333342,249.99929273984668,0.1
34,34,0.03076226434946592,0.04384016986274643,0.03197548252563413,0.01438206831321395,-225.74560835333432,249.99929273984668,0.1
35,35,0.022253564729663285,0.04384016986274643,0.029110786717611636,0.01438206831321395,-163.71138101333418,249.99929273984668,0.1
36,38,0.07694057468682786,0.04384016986274643,0.024513823106391733,0.01438206831321395,24.56644772466552,249.99929273984668,0.1
37,39,0.06032548455435568,0.04384016986274643,0.02270829274681493,0.01438206831321395,87.68857823666531,249.99929273984668,0.1
38,40,0.04521471337489402,0.04384016986274643,0.059089236258095736,0.01438206831321395,150.81064878266534,249.99929273984668,0.1
39,41,0.06891001321281948,0.04384016986274643,0.05910785558703265,0.01438206831321395,213.9327792946651,249.99929273984668,0.1
40,42,0.06831954384410087,0.04384016986274643,0.08235234940221448,0.01438206831321395,277.0549098066658,249.99929273984668,0.1
41,43,0.14430292766133096,0.04384016986274643,0.12789122765362004,0.01438206831321395,340.17698035266585,249.99929273984668,0.1
42,44,0.202731027058964,0.04384016986274643,0.13325669411825036,0.01438206831321395,403.2991108646656,249.99929273984668,0.1
43,45,0.17604339794058074,0.04384016986274643,0.14613314342129785,0.01438206831321395,466.4211934038658,249.99929273984668,0.1
44,46,0.20460396951136847,0.04384016986274643,0.17344334259331368,0.01438206831321395,529.5432999294653,249.99929273984668,0.1
45,47,0.2480517262659925,0.04384016986274643,0.2908538149151437,0.01438206831321395,592.6653824686664,249.99929273984668,0.1
46,48,0.2666206544898294,0.04384016986274643,0.243040257858507,0.01438206831321395,655.7875129806663,249.99929273984668,0.1
47,49,0.2904165174407194,0.04384016986274643,0.2607301911580947,0.01438206831321395,718.9095835266662,249.99929273984668,0.1
48,50,0.28109142340308,0.04384016986274643,0.2916584882759489,0.01438206831321395,782.0317140386659,249.99929273984668,0.1
49,51,0.3297971538817969,0.04384016986274643,0.29616566441455633,0.01438206831321395,845.1538445506658,249.99929273984668,0.1
50,52,0.3144364520038768,0.04384016986274643,0.3000105872562178,0.01438206831321395,908.2759150966658,249.99929273984668,0.1
51,53,0.3334368506142039,0.04384016986274643,0.34487877172748105,0.01438206831321395,971.3980456086656,249.99929273984668,0.1
52,54,0.31541496953767273,0.04384016986274643,0.26077385966296923,0.01438206831321395,1034.5201161546656,249.99929273984668,0.1
53,55,0.3717929168765947,0.04384016986274643,0.3114560290793845,0.01438206831321395,1097.6422466666654,249.99929273984668,0.1
